Date,Open,High,Low,Close,Volume,Adj Close
2014-10-02,179.610001,179.610001,179.610001,179.610001,000,174.914486
2014-10-01,179.589996,179.589996,179.589996,179.589996,000,174.895005
2014-09-30,181.990005,181.990005,181.990005,181.990005,000,177.232271
2014-09-29,182.490005,182.490005,182.490005,182.490005,000,177.719199
2014-09-26,182.940002,182.940002,182.940002,182.940002,000,178.157432
2014-09-25,181.350006,181.350006,181.350006,181.350006,000,176.609003
2014-09-24,184.330002,184.330002,184.330002,184.330002,000,179.511093
2014-09-23,182.889999,182.889999,182.889999,182.889999,000,178.108736
2014-09-22,183.940002,183.940002,183.940002,183.940002,000,179.131289
2014-09-19,185.429993,185.429993,185.429993,185.429993,000,180.582327
2014-09-18,186.389999,186.389999,186.389999,186.389999,000,180.657323
2014-09-17,185.460007,185.460007,185.460007,185.460007,000,179.755933
2014-09-16,185.220001,185.220001,185.220001,185.220001,000,179.523309
2014-09-15,183.839996,183.839996,183.839996,183.839996,000,178.185748
2014-09-12,183.970001,183.970001,183.970001,183.970001,000,178.311755
2014-09-11,185.070007,185.070007,185.070007,185.070007,000,179.377929
2014-09-10,184.850006,184.850006,184.850006,184.850006,000,179.164694
2014-09-09,184.160004,184.160004,184.160004,184.160004,000,178.495913
2014-09-08,185.369995,185.369995,185.369995,185.369995,000,179.66869
2014-09-05,185.910004,185.910004,185.910004,185.910004,000,180.19209
2014-09-04,184.979996,184.979996,184.979996,184.979996,000,179.290685
2014-09-03,185.259995,185.259995,185.259995,185.259995,000,179.562072
2014-09-02,185.369995,185.369995,185.369995,185.369995,000,179.66869
2014-08-29,185.460007,185.460007,185.460007,185.460007,000,179.755933
2014-08-28,184.830002,184.830002,184.830002,184.830002,000,179.145305
2014-08-27,185.119995,185.119995,185.119995,185.119995,000,179.426379
2014-08-26,185.080002,185.080002,185.080002,185.080002,000,179.387616
2014-08-25,184.880005,184.880005,184.880005,184.880005,000,179.19377
2014-08-22,184.00,184.00,184.00,184.00,000,178.340831
2014-08-21,184.339996,184.339996,184.339996,184.339996,000,178.67037
2014-08-20,183.789993,183.789993,183.789993,183.789993,000,178.137283
2014-08-19,183.330002,183.330002,183.330002,183.330002,000,177.691439
2014-08-18,182.380005,182.380005,182.380005,182.380005,000,176.770661
2014-08-15,180.830002,180.830002,180.830002,180.830002,000,175.26833
2014-08-14,180.820007,180.820007,180.820007,180.820007,000,175.258643
2014-08-13,180.020004,180.020004,180.020004,180.020004,000,174.483245
2014-08-12,178.779999,178.779999,178.779999,178.779999,000,173.281378
2014-08-11,179.059998,179.059998,179.059998,179.059998,000,173.552765
2014-08-08,178.529999,178.529999,178.529999,178.529999,000,173.039067
2014-08-07,176.50,176.50,176.50,176.50,000,171.071503
2014-08-06,177.440002,177.440002,177.440002,177.440002,000,171.982595
2014-08-05,177.380005,177.380005,177.380005,177.380005,000,171.924443
2014-08-04,179.100006,179.100006,179.100006,179.100006,000,173.591543
2014-08-01,177.820007,177.820007,177.820007,177.820007,000,172.350912
2014-07-31,178.330002,178.330002,178.330002,178.330002,000,172.845221
2014-07-30,181.960007,181.960007,181.960007,181.960007,000,176.36358
2014-07-29,181.919998,181.919998,181.919998,181.919998,000,176.324802
2014-07-28,182.740005,182.740005,182.740005,182.740005,000,177.119589
2014-07-25,182.690002,182.690002,182.690002,182.690002,000,177.071124
2014-07-24,183.570007,183.570007,183.570007,183.570007,000,177.924063
2014-07-23,183.479996,183.479996,183.479996,183.479996,000,177.83682
2014-07-22,183.160004,183.160004,183.160004,183.160004,000,177.52667
2014-07-21,182.240005,182.240005,182.240005,182.240005,000,176.634967
2014-07-18,182.660004,182.660004,182.660004,182.660004,000,177.042048
2014-07-17,180.809998,180.809998,180.809998,180.809998,000,175.248941
2014-07-16,182.949997,182.949997,182.949997,182.949997,000,177.323122
2014-07-15,182.169998,182.169998,182.169998,182.169998,000,176.567113
2014-07-14,182.520004,182.520004,182.520004,182.520004,000,176.906354
2014-07-11,181.639999,181.639999,181.639999,181.639999,000,176.053415
2014-07-10,181.350006,181.350006,181.350006,181.350006,000,175.772341
2014-07-09,182.110001,182.110001,182.110001,182.110001,000,176.508961
2014-07-08,181.259995,181.259995,181.259995,181.259995,000,175.685098
2014-07-07,182.490005,182.490005,182.490005,182.490005,000,176.877278
2014-07-03,183.199997,183.199997,183.199997,183.199997,000,177.565433
